"","event","trial","time","participant"
"468","blur",197,896490,"A2OVWCQ4B9AHFY"
"469","focus",197,1305745,"A2OVWCQ4B9AHFY"
"470","blur",198,1345639,"A2OVWCQ4B9AHFY"
"471","focus",198,1346494,"A2OVWCQ4B9AHFY"
"472","blur",232,1704557,"A2OVWCQ4B9AHFY"
"473","focus",232,1705683,"A2OVWCQ4B9AHFY"
"474","blur",233,1729723,"A2OVWCQ4B9AHFY"
"475","focus",233,1738501,"A2OVWCQ4B9AHFY"
"476","blur",234,1748350,"A2OVWCQ4B9AHFY"
"477","focus",234,1750947,"A2OVWCQ4B9AHFY"
"478","blur",252,1952773,"A2OVWCQ4B9AHFY"
"479","focus",252,1953617,"A2OVWCQ4B9AHFY"
"480","blur",658,2347465,"A2OVWCQ4B9AHFY"
"481","focus",659,2348407,"A2OVWCQ4B9AHFY"
"482","blur",889,2517770,"A2OVWCQ4B9AHFY"
"483","focus",890,2518861,"A2OVWCQ4B9AHFY"
"484","blur",893,2520353,"A2OVWCQ4B9AHFY"
"485","focus",894,2521057,"A2OVWCQ4B9AHFY"
"486","blur",1069,2661226,"A2OVWCQ4B9AHFY"
"487","focus",1069,2675985,"A2OVWCQ4B9AHFY"
"488","blur",1226,3043590,"A2OVWCQ4B9AHFY"
"489","focus",1226,3070063,"A2OVWCQ4B9AHFY"
"490","blur",1245,3107450,"A2OVWCQ4B9AHFY"
"491","focus",1245,3115114,"A2OVWCQ4B9AHFY"
"492","blur",1247,3120723,"A2OVWCQ4B9AHFY"
"493","focus",1247,3194972,"A2OVWCQ4B9AHFY"
"494","blur",1247,3195208,"A2OVWCQ4B9AHFY"
"495","focus",1247,3195826,"A2OVWCQ4B9AHFY"
